CALL_TTV,C_BID_Q,C_BID_P,C_ASK_Q,C_ASK_P,CALL_OI,CALL_CHNG_OI,total_call_OI,CALL_IV,CALL_BQ,CALL_SA,spread_call,STRICK_PRICE,PUT_TTV,P_BID_Q,P_BID_P,P_ASK_Q,P_ASK_P,PUT_IV,PUT_SA,PUT_BQ,PUT_CHNG_OI,PUT_OI,total_put_OI,spread_put,current_stp
32251.0,15.0,630.0,30.0,645.7,6267.0,6216.0,12483.0,11.74,3240.0,5910.0,-600.0,50100,1012856.0,165.0,172.0,15.0,175.5,16.55,12780.0,74610.0,1812.0,18012.0,19824.0,-157.0,50576.85
54513.0,30.0,556.0,225.0,567.85,6399.0,5817.0,12216.0,12.16,8805.0,6480.0,-331.0,50200,1192358.0,15.0,201.05,300.0,207.25,16.49,11925.0,58530.0,4256.0,37040.0,41296.0,98.94999999999999,50576.85
82484.0,15.0,495.5,150.0,505.0,7274.0,6866.0,14140.0,12.51,11565.0,5685.0,-345.5,50300,1129577.0,30.0,235.55,195.0,240.0,16.29,13005.0,34920.0,6661.0,29117.0,35778.0,-40.55000000000001,50576.85
164273.0,15.0,435.15,225.0,440.4,12096.0,11635.0,23731.0,12.81,12885.0,22305.0,-210.14999999999998,50400,1271878.0,30.0,271.05,60.0,279.0,16.48,19020.0,28650.0,12899.0,39817.0,52716.0,-211.05,50576.85
741800.0,30.0,380.1,15.0,385.15,61514.0,56649.0,118163.0,13.0,40470.0,67965.0,-365.1,50500,2614894.0,45.0,317.0,285.0,323.0,16.59,48705.0,74385.0,25357.0,92141.0,117498.0,-32.0,50576.85
642469.0,30.0,330.0,60.0,337.5,44758.0,44034.0,88792.0,13.11,138090.0,66870.0,-270.0,50600,1872867.0,210.0,367.3,30.0,372.0,16.63,14970.0,43005.0,443.0,43486.0,43929.0,-337.3,50576.85
823650.0,150.0,284.1,30.0,288.5,47605.0,45836.0,93441.0,13.32,22410.0,70425.0,-254.10000000000002,50700,1865927.0,45.0,420.0,15.0,425.0,16.72,12270.0,41610.0,-12760.0,30879.0,18119.0,-405.0,50576.85
1406013.0,330.0,242.65,360.0,247.85,67958.0,64846.0,132804.0,13.48,26385.0,142950.0,117.35,50800,2541841.0,165.0,471.3,150.0,487.0,16.63,10275.0,49305.0,9086.0,51826.0,60912.0,-321.3,50576.85
1601035.0,15.0,209.0,30.0,214.2,79363.0,76960.0,156323.0,13.64,19890.0,174930.0,-179.0,50900,2345876.0,15.0,545.25,15.0,554.6,17.28,6495.0,32235.0,-874.0,30042.0,29168.0,-530.25,50576.85
2880166.0,900.0,176.6,240.0,180.3,204309.0,177010.0,381319.0,13.8,98115.0,451080.0,63.400000000000006,51000,3363767.0,30.0,610.0,150.0,620.0,17.64,11760.0,75720.0,-7250.0,94325.0,87075.0,-460.0,50576.85
