underlying,identifier,instrumentType,instrument,contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE50000.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,50000,286.25,181.15,172.36,100.05,354.75,71.45,309.7,99204525,19290319886.25,19290319886.25,4979516569886.25,49831.85,89422,6613635
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE50500.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,50500,48.0,-277.15,-85.24,279.95,321.0,40.65,46.05,77922525,11248895709.000002,11248895709.000002,3946336408209.0,49831.85,274184,5194835
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE50300.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,50300,497.1,314.55,172.31,183.65,573.85,147.6,526.9,62788380,16909538617.8,16909538617.8,3175165052617.8,49831.85,26427,4185892
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE50300.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,50300,83.2,-369.0,-81.6,455.0,455.0,69.1,78.65,60330690,12549386826.9,12549386826.9,3047183093826.9,49831.85,160161,4022046
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE49000.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,49000,25.95,6.0,30.08,18.35,36.6,5.9,28.0,59972715,970358528.6999999,970358528.6999999,2939633393528.7,49831.85,160149,3998181
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE50200.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,50200,423.5,271.15,177.98,151.0,497.5,116.6,446.9,58549230,14284255643.1,14284255643.1,2953455601643.1,49831.85,37415,3903282
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE50400.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,50400,64.25,-321.85,-83.36,394.2,394.2,53.15,60.6,56530605,10512996611.85,10512996611.85,2859655488611.85,49831.85,149901,3768707
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE49500.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,49500,88.2,46.8,113.04,38.85,120.7,19.65,95.35,55084920,3406451452.8,3406451452.8,2730109991452.8,49831.85,102058,3672328
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE51000.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,51000,14.15,-96.85,-87.25,85.5,107.85,12.7,13.6,52802325,2055066489.0,2055066489.0,2694973641489.0,49831.85,247262,3520155
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE50500.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,50500,659.4,402.8,156.98,277.0,745.5,227.0,691.1,52382070,18565777070.1,18565777070.1,2663860312070.1,49831.85,63647,3492138
